show,description
QED,"The show 'QED' ran from 2001-10-21 to 2002-06-16. It had an average weekly revenue of $77,339.00 and a total revenue of $2,165,492.00."
Sweet Smell of Success,"The show 'Sweet Smell of Success' ran from 2002-02-24 to 2002-06-16. It had an average weekly revenue of $462,371.88 and a total revenue of $7,860,322.00."
Elaine Stritch at Liberty,"The show 'Elaine Stritch at Liberty' ran from 2002-02-10 to 2002-05-26. It had an average weekly revenue of $312,515.50 and a total revenue of $5,000,248.00."
The Mystery of Charles Dickens,"The show 'The Mystery of Charles Dickens' ran from 2002-04-21 to 2002-05-12. It had an average weekly revenue of $63,498.00 and a total revenue of $253,992.00."
The Smell of the Kill,"The show 'The Smell of the Kill' ran from 2002-03-10 to 2002-04-28. It had an average weekly revenue of $66,672.50 and a total revenue of $533,380.00."
Bea Arthur on Broadway,"The show 'Bea Arthur on Broadway' ran from 2002-02-03 to 2002-04-14. It had an average weekly revenue of $155,988.82 and a total revenue of $1,715,877.00."
An Almost Holy Picture,"The show 'An Almost Holy Picture' ran from 2002-01-27 to 2002-04-07. It had an average weekly revenue of $230,448.82 and a total revenue of $2,534,937.00."
One Mo' Time,"The show 'One Mo' Time' ran from 2002-02-24 to 2002-03-24. It had an average weekly revenue of $102,860.40 and a total revenue of $514,302.00."
45 Seconds from Broadway,"The show '45 Seconds from Broadway' ran from 2001-10-21 to 2002-01-13. It had an average weekly revenue of $295,374.69 and a total revenue of $3,839,871.00."
Dance of Death,"The show 'Dance of Death' ran from 2001-09-23 to 2002-01-13. It had an average weekly revenue of $319,201.82 and a total revenue of $5,426,431.00."
The Women,"The show 'The Women' ran from 2001-10-14 to 2002-01-13. It had an average weekly revenue of $298,798.43 and a total revenue of $4,183,178.00."
The Rocky Horror Show,"The show 'The Rocky Horror Show' ran from 2000-10-22 to 2002-01-06. It had an average weekly revenue of $227,650.85 and a total revenue of $13,431,400.00."
Thou Shalt Not,"The show 'Thou Shalt Not' ran from 2001-09-30 to 2002-01-06. It had an average weekly revenue of $259,663.53 and a total revenue of $3,894,953.00."
By Jeeves,"The show 'By Jeeves' ran from 2001-10-21 to 2001-12-30. It had an average weekly revenue of $190,086.73 and a total revenue of $2,090,954.00."
Blast!,"The show 'Blast!' ran from 2001-04-08 to 2001-09-23. It had an average weekly revenue of $326,765.08 and a total revenue of $8,169,127.00."
If You Ever Leave Me...I'm Going with You!,"The show 'If You Ever Leave Me...I'm Going with You!' ran from 2001-07-22 to 2001-09-23. It had an average weekly revenue of $136,104.90 and a total revenue of $1,361,049.00."
Stones in His Pockets,"The show 'Stones in His Pockets' ran from 2001-03-25 to 2001-09-23. It had an average weekly revenue of $190,411.11 and a total revenue of $5,141,100.00."
A Thousand Clowns,"The show 'A Thousand Clowns' ran from 1996-06-16 to 2001-09-23. It had an average weekly revenue of $175,163.71 and a total revenue of $3,678,438.00."
Major Barbara,"The show 'Major Barbara' ran from 2001-06-17 to 2001-09-16. It had an average weekly revenue of $226,138.54 and a total revenue of $2,939,801.00."
Annie Get Your Gun,"The show 'Annie Get Your Gun' ran from 1999-02-07 to 2001-09-02. It had an average weekly revenue of $610,348.76 and a total revenue of $81,786,734.00."
The Dinner Party,"The show 'The Dinner Party' ran from 2000-10-08 to 2001-09-02. It had an average weekly revenue of $291,131.52 and a total revenue of $13,974,313.00."
Fosse,"The show 'Fosse' ran from 1998-12-27 to 2001-08-26. It had an average weekly revenue of $491,785.08 and a total revenue of $67,374,556.00."
Riverdance - on Broadway,"The show 'Riverdance - on Broadway' ran from 2000-03-05 to 2001-08-26. It had an average weekly revenue of $584,023.21 and a total revenue of $45,553,810.00."
One Flew Over the Cuckoo's Nest,"The show 'One Flew Over the Cuckoo's Nest' ran from 2001-03-18 to 2001-07-29. It had an average weekly revenue of $323,885.90 and a total revenue of $6,477,718.00."
George Gershwin Alone,"The show 'George Gershwin Alone' ran from 2001-04-22 to 2001-07-22. It had an average weekly revenue of $75,382.21 and a total revenue of $1,055,351.00."
The Invention of Love,"The show 'The Invention of Love' ran from 2001-03-04 to 2001-07-01. It had an average weekly revenue of $217,714.56 and a total revenue of $3,918,862.00."
King Hedley II,"The show 'King Hedley II' ran from 2001-04-15 to 2001-07-01. It had an average weekly revenue of $206,633.25 and a total revenue of $2,479,599.00."
Bells Are Ringing,"The show 'Bells Are Ringing' ran from 2001-03-18 to 2001-06-10. It had an average weekly revenue of $271,321.23 and a total revenue of $3,527,176.00."
A Class Act,"The show 'A Class Act' ran from 2001-02-18 to 2001-06-10. It had an average weekly revenue of $150,491.88 and a total revenue of $2,558,362.00."
Jane Eyre,"The show 'Jane Eyre' ran from 2000-11-12 to 2001-06-10. It had an average weekly revenue of $260,747.90 and a total revenue of $8,083,185.00."
The Search for Signs of Intelligent Life in the Universe,"The show 'The Search for Signs of Intelligent Life in the Universe' ran from 1985-09-15 to 2001-05-20. It had an average weekly revenue of $204,425.99 and a total revenue of $16,967,357.00."
Seussical,"The show 'Seussical' ran from 2000-11-05 to 2001-05-20. It had an average weekly revenue of $445,783.93 and a total revenue of $12,927,734.00."
The Adventures of Tom Sawyer,"The show 'The Adventures of Tom Sawyer' ran from 2001-04-01 to 2001-05-13. It had an average weekly revenue of $315,975.57 and a total revenue of $2,211,829.00."
Design for Living,"The show 'Design for Living' ran from 2001-02-18 to 2001-05-13. It had an average weekly revenue of $229,554.54 and a total revenue of $2,984,209.00."
The Gathering,"The show 'The Gathering' ran from 2001-04-15 to 2001-05-13. It had an average weekly revenue of $72,196.60 and a total revenue of $360,983.00."
Judgment at Nuremberg,"The show 'Judgment at Nuremberg' ran from 2001-02-18 to 2001-05-13. It had an average weekly revenue of $155,814.62 and a total revenue of $2,025,590.00."
Dirty Blonde,"The show 'Dirty Blonde' ran from 2000-04-16 to 2001-03-04. It had an average weekly revenue of $168,626.00 and a total revenue of $7,925,422.00."
Copenhagen,"The show 'Copenhagen' ran from 2000-03-26 to 2001-01-21. It had an average weekly revenue of $263,150.63 and a total revenue of $11,315,477.00."
Swing!,"The show 'Swing!' ran from 1999-11-07 to 2001-01-14. It had an average weekly revenue of $390,852.24 and a total revenue of $24,623,691.00."
Saturday Night Fever,"The show 'Saturday Night Fever' ran from 1999-10-03 to 2000-12-31. It had an average weekly revenue of $569,479.36 and a total revenue of $37,585,638.00."
Matters of the Heart,"The show 'Matters of the Heart' ran from 2000-10-15 to 2000-12-17. It had an average weekly revenue of $62,823.00 and a total revenue of $628,230.00."
The Man Who Came to Dinner,"The show 'The Man Who Came to Dinner' ran from 2000-07-02 to 2000-10-08. It had an average weekly revenue of $256,948.33 and a total revenue of $3,854,225.00."
Much Ado About Everything,"The show 'Much Ado About Everything' ran from 1999-11-21 to 2000-07-30. It had an average weekly revenue of $143,335.86 and a total revenue of $5,303,427.00."
The Ride Down Mt. Morgan,"The show 'The Ride Down Mt. Morgan' ran from 2000-03-26 to 2000-07-23. It had an average weekly revenue of $219,361.94 and a total revenue of $3,948,515.00."
Dame Edna: The Royal Tour,"The show 'Dame Edna: The Royal Tour' ran from 1999-09-19 to 2000-07-02. It had an average weekly revenue of $233,706.98 and a total revenue of $9,815,693.00."
Footloose,"The show 'Footloose' ran from 1998-10-11 to 2000-07-02. It had an average weekly revenue of $408,076.01 and a total revenue of $37,134,917.00."
Taller Than a Dwarf,"The show 'Taller Than a Dwarf' ran from 2000-03-26 to 2000-06-11. It had an average weekly revenue of $213,088.42 and a total revenue of $2,557,061.00."
The Wild Party,"The show 'The Wild Party' ran from 2000-03-12 to 2000-06-11. It had an average weekly revenue of $279,965.86 and a total revenue of $3,919,522.00."
The Green Bird,"The show 'The Green Bird' ran from 2000-04-02 to 2000-06-04. It had an average weekly revenue of $178,799.70 and a total revenue of $1,787,997.00."
Waiting in the Wings,"The show 'Waiting in the Wings' ran from 1999-12-05 to 2000-05-28. It had an average weekly revenue of $250,534.81 and a total revenue of $6,513,905.00."
Rose,"The show 'Rose' ran from 2000-04-02 to 2000-05-21. It had an average weekly revenue of $153,824.38 and a total revenue of $1,230,595.00."
Amadeus,"The show 'Amadeus' ran from 1999-12-12 to 2000-05-14. It had an average weekly revenue of $227,938.87 and a total revenue of $5,242,594.00."
James Joyce's The Dead,"The show 'James Joyce's The Dead' ran from 1999-12-19 to 2000-04-16. It had an average weekly revenue of $243,114.28 and a total revenue of $4,376,057.00."
Squonk,"The show 'Squonk' ran from 2000-02-13 to 2000-03-26. It had an average weekly revenue of $66,593.86 and a total revenue of $466,157.00."
Putting It Together,"The show 'Putting It Together' ran from 1999-10-31 to 2000-02-20. It had an average weekly revenue of $315,962.94 and a total revenue of $5,371,370.00."
Wrong Mountain,"The show 'Wrong Mountain' ran from 2000-01-02 to 2000-02-06. It had an average weekly revenue of $69,714.00 and a total revenue of $418,284.00."
The Rainmaker,"The show 'The Rainmaker' ran from 1999-10-24 to 2000-01-23. It had an average weekly revenue of $237,231.57 and a total revenue of $3,321,242.00."
Smokey Joe's Cafe,"The show 'Smokey Joe's Cafe' ran from 1995-02-12 to 2000-01-16. It had an average weekly revenue of $343,364.72 and a total revenue of $87,901,368.00."
It Ain't Nothin' But the Blues,"The show 'It Ain't Nothin' But the Blues' ran from 1999-04-25 to 2000-01-09. It had an average weekly revenue of $182,510.65 and a total revenue of $6,752,894.00."
Marie Christine,"The show 'Marie Christine' ran from 1999-10-31 to 2000-01-09. It had an average weekly revenue of $271,099.55 and a total revenue of $2,982,095.00."
Morning Noon and Night,"The show 'Morning Noon and Night' ran from 1999-10-31 to 2000-01-09. It had an average weekly revenue of $45,883.55 and a total revenue of $504,719.00."
Tango Argentino,"The show 'Tango Argentino' ran from 1985-10-13 to 2000-01-09. It had an average weekly revenue of $255,206.56 and a total revenue of $8,166,610.00."
Kat and the Kings,"The show 'Kat and the Kings' ran from 1999-08-08 to 2000-01-02. It had an average weekly revenue of $155,376.64 and a total revenue of $3,418,286.00."
Minnelli on Minnelli,"The show 'Minnelli on Minnelli' ran from 1999-12-05 to 2000-01-02. It had an average weekly revenue of $509,967.20 and a total revenue of $2,549,836.00."
The Scarlet Pimpernel,"The show 'The Scarlet Pimpernel' ran from 1997-10-12 to 2000-01-02. It had an average weekly revenue of $395,074.80 and a total revenue of $40,692,704.00."
Epic Proportions,"The show 'Epic Proportions' ran from 1999-09-12 to 1999-12-19. It had an average weekly revenue of $86,994.00 and a total revenue of $1,217,916.00."
The Weir,"The show 'The Weir' ran from 1999-03-28 to 1999-11-28. It had an average weekly revenue of $190,968.75 and a total revenue of $6,874,875.00."
Side Man,"The show 'Side Man' ran from 1998-06-07 to 1999-10-31. It had an average weekly revenue of $144,078.06 and a total revenue of $9,653,230.00."
Voices in the Dark,"The show 'Voices in the Dark' ran from 1999-08-01 to 1999-10-10. It had an average weekly revenue of $113,184.91 and a total revenue of $1,245,034.00."
Peter Pan,"The show 'Peter Pan' ran from 1990-12-16 to 1999-08-29. It had an average weekly revenue of $453,001.22 and a total revenue of $18,120,049.00."
Closer,"The show 'Closer' ran from 1999-03-14 to 1999-08-22. It had an average weekly revenue of $221,620.71 and a total revenue of $5,318,897.00."
Art,"The show 'Art' ran from 1998-02-15 to 1999-08-08. It had an average weekly revenue of $311,374.96 and a total revenue of $24,287,247.00."
Amy's View,"The show 'Amy's View' ran from 1999-04-04 to 1999-07-18. It had an average weekly revenue of $369,448.50 and a total revenue of $5,911,176.00."
Night Must Fall,"The show 'Night Must Fall' ran from 1999-02-07 to 1999-06-27. It had an average weekly revenue of $146,387.85 and a total revenue of $2,927,757.00."
Ring Round the Moon,"The show 'Ring Round the Moon' ran from 1999-04-04 to 1999-06-27. It had an average weekly revenue of $98,683.08 and a total revenue of $1,282,880.00."
The Sound of Music,"The show 'The Sound of Music' ran from 1998-02-08 to 1999-06-20. It had an average weekly revenue of $478,944.04 and a total revenue of $34,483,971.00."
The Civil War,"The show 'The Civil War' ran from 1999-03-28 to 1999-06-13. It had an average weekly revenue of $293,731.25 and a total revenue of $3,524,775.00."
The Lonesome West,"The show 'The Lonesome West' ran from 1999-04-25 to 1999-06-13. It had an average weekly revenue of $77,416.75 and a total revenue of $619,334.00."
Not About Nightingales,"The show 'Not About Nightingales' ran from 1999-02-14 to 1999-06-13. It had an average weekly revenue of $136,949.22 and a total revenue of $2,465,086.00."
Via Dolorosa,"The show 'Via Dolorosa' ran from 1999-03-07 to 1999-06-13. It had an average weekly revenue of $116,751.47 and a total revenue of $1,751,272.00."
You're a Good Man Charlie Brown,"The show 'You're a Good Man Charlie Brown' ran from 1999-01-24 to 1999-06-13. It had an average weekly revenue of $172,894.00 and a total revenue of $3,630,774.00."
The Lion in Winter,"The show 'The Lion in Winter' ran from 1999-02-21 to 1999-05-30. It had an average weekly revenue of $139,988.07 and a total revenue of $2,099,821.00."
The Gershwins' Fascinating Rhythm,"The show 'The Gershwins' Fascinating Rhythm' ran from 1999-04-04 to 1999-05-09. It had an average weekly revenue of $161,782.00 and a total revenue of $970,692.00."
Marlene,"The show 'Marlene' ran from 1999-04-04 to 1999-05-02. It had an average weekly revenue of $136,262.60 and a total revenue of $681,313.00."
Titanic,"The show 'Titanic' ran from 1997-03-30 to 1999-03-28. It had an average weekly revenue of $543,019.61 and a total revenue of $56,474,039.00."
Band in Berlin,"The show 'Band in Berlin' ran from 1999-02-21 to 1999-03-21. It had an average weekly revenue of $76,676.00 and a total revenue of $383,380.00."
Electra,"The show 'Electra' ran from 1998-11-22 to 1999-03-21. It had an average weekly revenue of $257,204.61 and a total revenue of $4,629,683.00."
The Beauty Queen of Leenane,"The show 'The Beauty Queen of Leenane' ran from 1998-04-19 to 1999-03-14. It had an average weekly revenue of $260,341.42 and a total revenue of $12,496,388.00."
